Date,MarkCap_year_high,MarkCap_year_low,MarkCap_median,MarkCap,P/T.BV_year_high,P/T.BV_year_low,P/T.BV_median,P/T.BV,LTDebt/TotalCap_year_high,LTDebt/TotalCap_year_low,LTDebt/TotalCap_median,LTDebt/TotalCap,PE_year_high,PE_year_low,PE_year_median,PE,Rev/Assets_year_high,Rev/Assets_year_low,Rev/Assets_median,Rev/Assets,Cash/Share_year_high,Cash/Share_year_low,Cash/Share_median,Cash/Share,PEG_year_high,PEG_year_low,PEG_median,PEG,Earn_Growth_year_high,Earn_Growth_year_low,Earn_Growth_median,Earn_Growth,PB_year_high,PB_year_low,PB_median,PB,CF/Share_year_high,CF/Share_year_low,CF/Share_median,CF/Share,BV_year_high,BV_year_low,BV_median,BV,Shares_Outstanding_year_high,Shares_Outstanding_year_low,Shares_Outstanding_median,Shares_Outstanding,LTDebt/Equity_year_high,LTDebt/Equity_year_low,LTDebt/Equity_median,LTDebt/Equity,EBIT/Share_year_high,EBIT/Share_year_low,EBIT/Share_median,EBIT/Share
27/12/2019,1.23E+12,7.57E+11,1.04E+12,11.07,23.76321425,17.98481542,20.68458619,23.45048674,42.99278038,38.19996791,39.64242338,38.19996791,41.75375312,22.55756239,27.3133211,31.407158,0.464184654,0.439156744,0.446030766,0.439156744,1.949137265,0.854531411,1.464723333,1.464723333,1.381251522,0.312601056,0.47410907,0.659967091,257.8512397,-14.13427562,137.5586854,137.5586854,12.04355399,8.212521709,10.37218509,12.04355399,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
20/12/2019,1.22E+12,7.31E+11,1.04E+12,1.22E+12,23.76321425,17.18697435,20.66079937,23.22182384,42.99278038,38.19996791,39.64242338,38.19996791,41.88993358,22.55756239,27.3133211,31.10091055,0.464184654,0.439156744,0.446030766,0.439156744,1.949137265,0.854531411,1.464723333,1.464723333,1.388835232,0.312601056,0.47410907,0.651407257,257.8512397,-14.13427562,137.5586854,137.5586854,11.92611873,8.212521709,10.33884863,11.92611873,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
13/12/2019,1.20E+12,7.31E+11,1.03E+12,1.20E+12,23.76321425,17.18697435,20.60621532,22.79695342,42.99278038,38.19996791,39.64242338,38.19996791,45.16651788,22.55756239,27.3133211,30.53188303,0.464184654,0.439156744,0.446030766,0.439156744,1.949137265,0.854531411,1.464723333,1.464723333,1.500451044,0.312601056,0.47410907,0.593097563,257.8512397,-14.13427562,137.5586854,137.5586854,11.70791645,8.212521709,10.32445334,11.70791645,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
6/12/2019,1.18E+12,7.31E+11,1.02E+12,1.18E+12,23.76321425,17.18697435,20.57247929,22.38683545,42.99278038,38.19996791,39.64242338,38.19996791,45.16651788,22.55756239,27.3133211,29.9826134,0.464184654,0.439156744,0.446030766,0.439156744,1.949137265,0.854531411,1.464723333,1.464723333,1.543359265,0.312601056,0.47410907,0.583814578,257.8512397,-14.13427562,137.5586854,137.5586854,11.5404765,8.212521709,10.30702746,11.49729063,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
29/11/2019,1.18E+12,7.31E+11,9.99E+11,1.17E+12,23.76321425,17.18697435,20.53815866,22.3322514,42.99278038,38.19996791,39.64242338,38.19996791,46.25596153,22.55756239,27.31054362,29.90950917,0.464184654,0.439156744,0.451825276,0.439156744,1.949137265,0.854531411,1.456276956,1.464723333,1.566050039,0.312601056,0.47410907,0.577105773,257.8512397,-14.13427562,173.5738633,137.5586854,11.5404765,8.212521709,10.29959184,11.4692577,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
22/11/2019,1.17E+12,7.31E+11,9.91E+11,1.16E+12,23.76321425,17.18697435,20.51548778,22.06818263,42.99278038,38.19996791,39.64242338,38.19996791,46.25596153,22.55756239,27.31054362,29.55584276,0.464184654,0.439156744,0.451825276,0.439156744,1.949137265,0.854531411,1.456276956,1.464723333,0,0,0,0,257.8512397,-14.13427562,173.5738633,137.5586854,11.39425066,8.212521709,10.28202511,11.33363891,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
15/11/2019,1.16E+12,7.31E+11,9.80E+11,1.16E+12,23.76321425,17.18697435,20.48229478,22.12424192,42.99278038,38.19996791,39.64242338,38.19996791,46.25596153,22.55756239,27.31054362,29.63092278,0.464184654,0.439156744,0.451825276,0.439156744,1.949137265,0.854531411,1.456276956,1.464723333,1.566050039,0.312601056,0.47410907,0.58723878,257.8512397,-14.13427562,173.5738633,137.5586854,11.36242949,8.212521709,10.26299988,11.36242949,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
8/11/2019,1.13E+12,7.31E+11,9.76E+11,1.13E+12,23.76321425,17.18697435,20.42180976,21.53266887,42.99278038,38.19996791,39.64242338,38.19996791,46.25596153,22.55756239,27.31054362,28.83863099,0.464184654,0.439156744,0.451825276,0.439156744,1.949137265,0.854531411,1.456276956,1.464723333,1.566050039,0.312601056,0.47410907,0.548675318,257.8512397,-14.13427562,173.5738633,137.5586854,11.24734694,8.212521709,10.24244898,11.05861311,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
1/11/2019,1.12E+12,7.31E+11,9.72E+11,1.11E+12,23.76321425,17.18697435,20.40486636,21.2022141,42.99278038,38.19996791,39.64242338,38.19996791,46.25596153,22.55756239,27.31054362,28.39605403,0.464184654,0.439156744,0.451825276,0.439156744,1.949137265,0.854531411,1.456276956,1.464723333,1.566050039,0.312601056,0.47410907,0.569991445,257.8512397,-14.13427562,173.5738633,137.5586854,11.24734694,8.212521709,10.19061224,10.88890022,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
25/10/2019,1.10E+12,7.31E+11,9.62E+11,1.09E+12,23.76321425,17.18697435,20.37165144,20.76111599,42.99278038,38.19996791,39.64242338,38.19996791,46.25596153,22.55756239,27.31054362,27.80529281,0.464184654,0.439156744,0.451825276,0.439156744,1.949137265,0.854531411,1.456276956,1.464723333,1.611572213,0.312601056,0.47410907,0.545867618,257.8512397,-14.13427562,173.5738633,137.5586854,11.24734694,8.212521709,10.12000128,10.66236382,6.730942861,5.807494206,6.133135331,6.730942861,1.02E+11,85967000000,94864000000,1.02E+11,7768000000,7744000000,7753000000,7753000000,81.11600963,65.1441415,70.18995615,65.1441415,11.07558365,9.951712593,10.74031508,11.07558365
