date,volume_string,change,change_percent,volume,change_string,change_percent_string,high,low,human_date,currency,close,open,stock
2020-03-05,"5,442,040",-4.6699999999999875,-3.479362241096698,5442040,-4.670,-3.48%,132.29,128.45,5 Mar 2020,USD,129.55,130.5,IBM
2020-03-04,"4,996,370",5.319999999999993,4.127230411171445,4996370,5.320,4.13%,134.28,129.0,4 Mar 2020,USD,134.22,131.58,IBM
2020-03-03,"7,896,068",-5.400000000000006,-4.020848845867465,7896068,-5.400,-4.02%,136.095,127.8,3 Mar 2020,USD,128.9,134.48,IBM
2020-03-02,"8,531,415",4.150000000000006,3.1886285055704997,8531415,4.150,3.19%,134.44,127.95,2 Mar 2020,USD,134.3,130.75,IBM
2020-02-28,"13,012,228",-2.960000000000008,-2.2237247389377264,13012228,-2.960,-2.22%,131.09,126.36,28 Feb 2020,USD,130.15,129.98,IBM
2020-02-27,"8,421,125",-6.639999999999986,-4.75134168157423,8421125,-6.640,-4.75%,138.69,133.01,27 Feb 2020,USD,133.11,137.24,IBM
2020-02-26,"5,409,537",-1.960000000000008,-1.3831063439418587,5409537,-1.960,-1.38%,144.06,139.6,26 Feb 2020,USD,139.75,142.9,IBM
2020-02-25,"6,211,547",-4.719999999999999,-3.2233831865054965,6211547,-4.720,-3.22%,147.07,141.261,25 Feb 2020,USD,141.71,146.51,IBM
2020-02-24,"5,452,408",-3.4099999999999966,-2.2757608115322987,5452408,-3.410,-2.28%,148.05,145.38,24 Feb 2020,USD,146.43,145.51,IBM
2020-02-21,"3,537,258",-1.3799999999999955,-0.9125777013622507,3537258,-1.380,-0.91%,151.04,148.84,21 Feb 2020,USD,149.84,151.04,IBM
2020-02-20,"2,880,709",0.3599999999999852,0.23863184409385205,2880709,0.360,0.24%,151.62,149.51,20 Feb 2020,USD,151.22,150.81,IBM
2020-02-19,"2,733,277",-0.23999999999998067,-0.15883520847119834,2733277,-0.240,-0.16%,151.89,150.31,19 Feb 2020,USD,150.86,151.54,IBM
2020-02-18,"3,343,514",0.4000000000000057,0.26542800265428385,3343514,0.400,0.27%,151.38,149.64,18 Feb 2020,USD,151.1,149.79,IBM
2020-02-14,"6,099,244",-3.6100000000000136,-2.339446568595693,6099244,-3.610,-2.34%,154.56,149.77,14 Feb 2020,USD,150.7,154.42,IBM
2020-02-13,"3,820,697",-1.0,-0.6438735432361085,3820697,-1,-0.64%,154.83,153.41,13 Feb 2020,USD,154.31,154.37,IBM
2020-02-12,"4,438,007",1.8300000000000125,1.192337763878038,4438007,1.830,1.19%,155.6,153.52,12 Feb 2020,USD,155.31,153.75,IBM
2020-02-11,"3,835,112",-0.950000000000017,-0.6151654471281597,3835112,-0.950,-0.62%,155.22,152.7304,11 Feb 2020,USD,153.48,155.12,IBM
2020-02-10,"5,239,807",1.0200000000000102,0.6648849488299395,5239807,1.020,0.66%,154.44,151.58,10 Feb 2020,USD,154.43,152.97,IBM
2020-02-07,"6,423,429",-3.3499999999999943,-2.1370247512120404,6423429,-3.350,-2.14%,155.54,152.92,7 Feb 2020,USD,153.41,154.55,IBM
2020-02-06,"8,400,545",0.4299999999999784,0.27505916970509714,8400545,0.430,0.28%,158.75,155.42,6 Feb 2020,USD,156.76,156.82,IBM
2020-02-05,"14,386,823",7.219999999999999,4.842062906579034,14386823,7.220,4.84%,157.44,150.15,5 Feb 2020,USD,156.33,150.21,IBM
2020-02-04,"5,620,966",2.8400000000000034,1.941614821904699,5620966,2.840,1.94%,149.38,146.88,4 Feb 2020,USD,149.11,147.78,IBM
2020-02-03,"8,887,502",2.5400000000000205,1.7672023933764842,8887502,2.540,1.77%,147.28,143.9,3 Feb 2020,USD,146.27,144.25,IBM
2020-01-31,"18,994,560",6.9599999999999795,5.088835270892725,18994560,6.960,5.09%,144.05,140.79,31 Jan 2020,USD,143.73,142.9,IBM
2020-01-30,"5,057,906",-0.9199999999999875,-0.6681676229210455,5057906,-0.920,-0.67%,136.97,134.97,30 Jan 2020,USD,136.77,136.76,IBM
2020-01-29,"3,054,714",-1.8600000000000136,-1.332855607309218,3054714,-1.860,-1.33%,139.58,137.595,29 Jan 2020,USD,137.69,139.17,IBM
2020-01-28,"3,451,557",0.9300000000000068,0.6708988601933392,3451557,0.930,0.67%,140.47,138.75,28 Jan 2020,USD,139.55,139.5,IBM
2020-01-27,"4,166,562",-1.9399999999999977,-1.3801935116676136,4166562,-1.940,-1.38%,140.069,138.1,27 Jan 2020,USD,138.62,138.5,IBM
2020-01-24,"5,580,189",-2.3100000000000023,-1.6168544830965228,5580189,-2.310,-1.62%,143.92,140.46,24 Jan 2020,USD,140.56,143.39,IBM
2020-01-23,"5,657,790",-1.0199999999999818,-0.7088748349433469,5657790,-1.020,-0.71%,144.4097,142.15,23 Jan 2020,USD,142.87,144.2,IBM
2020-01-22,"16,470,431",4.719999999999999,3.3915355320830636,16470431,4.720,3.39%,145.79,142.55,22 Jan 2020,USD,143.89,143.32,IBM
2020-01-21,"7,244,079",0.8599999999999852,0.6217916275034236,7244079,0.860,0.62%,139.35,137.6,21 Jan 2020,USD,139.17,137.81,IBM
