date,volume_string,change,change_percent,volume,change_string,change_percent_string,high,low,human_date,currency,close,open,stock
26/2/2020,"55,116,742",2.1,1.249479384,55116742,2.1,1.25%,173.26,168.21,26-Feb-20,USD,170.17,169.71,MSFT
25/2/2020,"68,073,295",-2.82,-1.650184329,68073295,-2.82,-1.65%,174.84,167.6462,25-Feb-20,USD,168.07,174.2,MSFT
24/2/2020,"68,311,066",-7.7,-4.311551599,68311066,-7.7,-4.31%,174.55,163.23,24-Feb-20,USD,170.89,167.77,MSFT
21/2/2020,"48,600,385",-5.83,-3.161262336,48600385,-5.83,-3.16%,183.5,177.25,21-Feb-20,USD,178.59,183.17,MSFT
20/2/2020,"36,862,376",-2.86,-1.52712516,36862376,-2.86,-1.53%,187.25,181.1,20-Feb-20,USD,184.42,186.95,MSFT
19/2/2020,"29,997,471",0.05,0.026705122,29997471,0.05,0.03%,188.18,186.47,19-Feb-20,USD,187.28,188.06,MSFT
18/2/2020,"27,853,113",1.88,1.014297275,27853113,1.88,1.01%,187.7,185.5,18-Feb-20,USD,187.23,185.605,MSFT
14/2/2020,"23,149,516",1.64,0.892711339,23149516,1.64,0.89%,185.41,182.65,14-Feb-20,USD,185.35,183.25,MSFT
13/2/2020,"35,295,834",-1,-0.541389205,35295834,-1,-0.54%,186.23,182.872,13-Feb-20,USD,183.71,183.08,MSFT
12/2/2020,"47,062,921",0.27,0.14638907,47062921,0.27,0.15%,185.85,181.85,12-Feb-20,USD,184.71,185.58,MSFT
11/2/2020,"53,159,906",-4.26,-2.257551669,53159906,-4.26,-2.26%,190.7,183.5,11-Feb-20,USD,184.44,190.65,MSFT
10/2/2020,"35,844,267",4.81,2.615694165,35844267,4.81,2.62%,188.84,183.25,10-Feb-20,USD,188.7,183.58,MSFT
7/2/2020,"33,529,074",0.26,0.141589065,33529074,0.26,0.14%,185.63,182.48,7-Feb-20,USD,183.89,182.845,MSFT
6/2/2020,"27,751,381",3.73,2.073374097,27751381,3.73,2.07%,183.8199,180.059,6-Feb-20,USD,183.63,180.97,MSFT
5/2/2020,"39,186,324",-0.22,-0.122140795,39186324,-0.22,-0.12%,184.2,178.4101,5-Feb-20,USD,179.9,184.03,MSFT
4/2/2020,"36,433,339",5.74,3.291661888,36433339,5.74,3.29%,180.64,176.31,4-Feb-20,USD,180.12,177.14,MSFT
3/2/2020,"30,149,052",4.15,2.437878165,30149052,4.15,2.44%,174.5,170.4,3-Feb-20,USD,174.38,170.43,MSFT
31/1/2020,"36,142,690",-2.55,-1.475865262,36142690,-2.55,-1.48%,172.4,169.58,31-Jan-20,USD,170.23,172.21,MSFT
30/1/2020,"51,597,470",4.74,2.820756963,51597470,4.74,2.82%,174.05,170.79,30-Jan-20,USD,172.78,174.05,MSFT
