date,volume_string,change,change_percent,volume,change_string,change_percent_string,high,low,human_date,currency,close,open,stock
2020-03-05,"1,394,573",-4.3799999999999955,-3.485596052840996,1394573,-4.380,-3.49%,123.82,120.22,5 Mar 2020,USD,121.28,122.54,SAP
2020-03-04,"840,178",1.8599999999999994,1.502423263327948,840178,1.860,1.50%,125.75,123.35,4 Mar 2020,USD,125.66,124.98,SAP
2020-03-03,"907,025",-2.730000000000004,-2.157591085118157,907025,-2.730,-2.16%,129.14,122.96,3 Mar 2020,USD,123.8,127.24,SAP
2020-03-02,"931,589",2.960000000000008,2.395403415068389,931589,2.960,2.40%,126.65,121.85,2 Mar 2020,USD,126.53,124.13,SAP
2020-02-28,"1,389,912",-1.240000000000009,-0.9935101354058241,1389912,-1.240,-0.99%,124.185,120.39,28 Feb 2020,USD,123.57,121.22,SAP
2020-02-27,"1,581,312",-2.0900000000000034,-1.646966115051224,1581312,-2.090,-1.65%,128.27,124.53,27 Feb 2020,USD,124.81,125.22,SAP
2020-02-26,"802,790",-0.8799999999999955,-0.6886836750665171,802790,-0.880,-0.69%,129.82,126.7024,26 Feb 2020,USD,126.9,128.68,SAP
2020-02-25,"837,333",-3.1399999999999864,-2.3984112435074754,837333,-3.140,-2.40%,131.12,127.56,25 Feb 2020,USD,127.78,130.92,SAP
2020-02-24,"676,491",-5.710000000000008,-4.179170021225213,676491,-5.710,-4.18%,131.92,130.24,24 Feb 2020,USD,130.92,130.33,SAP
2020-02-21,"379,369",-1.8000000000000114,-1.3002961785740166,379369,-1.800,-1.30%,137.46,135.94,21 Feb 2020,USD,136.63,137.25,SAP
2020-02-20,"523,951",-1.2699999999999818,-0.9090909090908962,523951,-1.270,-0.91%,139.4,137.63,20 Feb 2020,USD,138.43,138.85,SAP
2020-02-19,"499,547",1.9399999999999977,1.4082462253193946,499547,1.940,1.41%,139.91,138.45,19 Feb 2020,USD,139.7,138.49,SAP
2020-02-18,"456,992",0.3199999999999932,0.23282887077997175,456992,0.320,0.23%,138.01,137.005,18 Feb 2020,USD,137.76,137.04,SAP
2020-02-14,"289,815",-0.009999999999990905,-0.007275372862852605,289815,-0.010,-0.01%,137.87,136.78,14 Feb 2020,USD,137.44,137.01,SAP
2020-02-13,"365,811",-0.710000000000008,-0.513896931094389,365811,-0.710,-0.51%,137.7,136.27,13 Feb 2020,USD,137.45,136.28,SAP
2020-02-12,"464,789",1.6099999999999852,1.1790552911021495,464789,1.610,1.18%,138.51,137.61,12 Feb 2020,USD,138.16,138.39,SAP
2020-02-11,"454,118",1.3200000000000216,0.9761147674332779,454118,1.320,0.98%,137.32,136.19,11 Feb 2020,USD,136.55,136.5,SAP
2020-02-10,"381,224",0.1699999999999875,0.12586998371093402,381224,0.170,0.13%,135.37,134.68,10 Feb 2020,USD,135.23,134.68,SAP
2020-02-07,"511,691",-1.4300000000000068,-1.0476958018902534,511691,-1.430,-1.05%,136.02,134.64,7 Feb 2020,USD,135.06,135.95,SAP
2020-02-06,"497,814",-0.9299999999999784,-0.6767573861155425,497814,-0.930,-0.68%,136.91,135.7,6 Feb 2020,USD,136.49,136.09,SAP
2020-02-05,"663,685",1.9399999999999977,1.4319456746383215,663685,1.940,1.43%,137.5,136.31,5 Feb 2020,USD,137.42,137.49,SAP
2020-02-04,"418,364",2.8400000000000034,2.1411338962605577,418364,2.840,2.14%,136.08,134.68,4 Feb 2020,USD,135.48,134.86,SAP
2020-02-03,"536,272",1.8699999999999761,1.4299915882847565,536272,1.870,1.43%,132.91,131.65,3 Feb 2020,USD,132.64,131.82,SAP
2020-01-31,"1,023,562",-0.19999999999998863,-0.15270672673130384,1023562,-0.200,-0.15%,132.18,130.19,31 Jan 2020,USD,130.77,132.1,SAP
2020-01-30,"1,631,497",-0.6800000000000068,-0.5165210786175517,1631497,-0.680,-0.52%,131.31,130.05,30 Jan 2020,USD,130.97,130.37,SAP
2020-01-29,"1,368,527",-0.8100000000000023,-0.6115053601087137,1368527,-0.810,-0.61%,132.4,131.37,29 Jan 2020,USD,131.65,131.88,SAP
2020-01-28,"2,188,842",-3.789999999999992,-2.781651376146783,2188842,-3.790,-2.78%,132.71,131.03,28 Jan 2020,USD,132.46,132.47,SAP
2020-01-27,"1,275,138",-2.8100000000000023,-2.0207104846828723,1275138,-2.810,-2.02%,140.45,134.74,27 Jan 2020,USD,136.25,134.87,SAP
2020-01-24,"595,630",0.9200000000000159,0.6659910235992588,595630,0.920,0.67%,140.1,138.7027,24 Jan 2020,USD,139.06,139.67,SAP
2020-01-23,"622,115",-1.4400000000000261,-1.0316664278550123,622115,-1.440,-1.03%,138.55,136.69,23 Jan 2020,USD,138.14,138.41,SAP
2020-01-22,"473,145",0.040000000000020464,0.028665615594109548,473145,0.040,0.03%,140.67,139.41,22 Jan 2020,USD,139.58,140.35,SAP
2020-01-21,"579,509",-0.4200000000000159,-0.30008573878252065,579509,-0.420,-0.30%,140.19,138.9,21 Jan 2020,USD,139.54,138.9,SAP
2020-01-17,"507,490",2.670000000000016,1.944788404108104,507490,2.670,1.94%,139.99,138.75,17 Jan 2020,USD,139.96,139.04,SAP
2020-01-16,"1,074,927",0.8899999999999864,0.6524926686216909,1074927,0.890,0.65%,137.33,135.91,16 Jan 2020,USD,137.29,136.67,SAP
2020-01-15,"491,726",-0.8499999999999943,-0.6193078324225824,491726,-0.850,-0.62%,137.68,136.19,15 Jan 2020,USD,136.4,137.33,SAP
2020-01-14,"342,106",-1.0800000000000125,-0.7807417046193974,342106,-1.080,-0.78%,137.93,137.03,14 Jan 2020,USD,137.25,137.5,SAP
2020-01-13,"555,487",1.3500000000000227,0.9855453350854306,555487,1.350,0.99%,138.54,137.33,13 Jan 2020,USD,138.33,137.65,SAP
2020-01-10,"464,042",-0.15000000000000568,-0.109385254867648,464042,-0.150,-0.11%,138.07,136.79,10 Jan 2020,USD,136.98,137.55,SAP
2020-01-09,"457,811",2.049999999999983,1.5176191886289478,457811,2.050,1.52%,137.29,136.12,9 Jan 2020,USD,137.13,136.49,SAP
2020-01-08,"513,264",1.460000000000008,1.0926508007783324,513264,1.460,1.09%,135.52,133.76,8 Jan 2020,USD,135.08,133.9,SAP
2020-01-07,"622,384",-0.5799999999999841,-0.4321907600596007,622384,-0.580,-0.43%,134.35,133.44,7 Jan 2020,USD,133.62,134.08,SAP
2020-01-06,"442,872",0.21999999999999886,0.1642036124794737,442872,0.220,0.16%,134.22,133.13,6 Jan 2020,USD,134.2,133.16,SAP
2020-01-03,"507,797",-2.8300000000000125,-2.0685622396023775,507797,-2.830,-2.07%,134.92,133.3,3 Jan 2020,USD,133.98,133.3,SAP
2020-01-02,"2,967,139",2.819999999999993,2.104634674229415,2967139,2.820,2.10%,137.14,135.4,2 Jan 2020,USD,136.81,135.42,SAP
2019-12-31,"299,298",0.6000000000000227,0.44980883124673726,299298,0.600,0.45%,134.08,133.1,31 Dec 2019,USD,133.99,133.17,SAP
2019-12-30,"257,203",-1.5900000000000034,-1.1779522892280363,257203,-1.590,-1.18%,134.66,132.97,30 Dec 2019,USD,133.39,134.66,SAP
2019-12-27,"357,194",0.39999999999997726,0.29722098380143946,357194,0.400,0.30%,135.89,134.74,27 Dec 2019,USD,134.98,135.88,SAP
2019-12-26,"169,998",0.9800000000000182,0.7335329341317501,169998,0.980,0.73%,134.58,133.92,26 Dec 2019,USD,134.58,133.92,SAP
2019-12-24,"117,911",-0.17000000000001592,-0.1270838005532002,117911,-0.170,-0.13%,134.36,133.6,24 Dec 2019,USD,133.6,134.12,SAP
2019-12-23,"296,775",-0.6399999999999864,-0.4761550479874908,296775,-0.640,-0.48%,134.33,133.0349,23 Dec 2019,USD,133.77,133.16,SAP
2019-12-20,"474,287",1.329999999999984,0.9993988578298647,474287,1.330,1.00%,134.435,133.51,20 Dec 2019,USD,134.41,133.93,SAP
2019-12-19,"454,109",-0.30999999999997385,-0.2324012294774525,454109,-0.310,-0.23%,133.53,132.77,19 Dec 2019,USD,133.08,133.03,SAP
2019-12-18,"663,689",-0.6500000000000057,-0.48492987168009977,663689,-0.650,-0.48%,133.7299,132.61,18 Dec 2019,USD,133.39,133.32,SAP
2019-12-17,"1,439,349",-5.349999999999994,-3.8381519477724333,1439349,-5.350,-3.84%,135.87,133.91,17 Dec 2019,USD,134.04,135.8,SAP
2019-12-16,"497,109",0.8899999999999864,0.6425992779783295,497109,0.890,0.64%,139.48,138.56,16 Dec 2019,USD,139.39,138.63,SAP
2019-12-13,"745,375",1.8000000000000114,1.3167520117044706,745375,1.800,1.32%,138.74,136.68,13 Dec 2019,USD,138.5,137.03,SAP
2019-12-12,"679,824",1.789999999999992,1.3268104662367446,679824,1.790,1.33%,136.89,134.81,12 Dec 2019,USD,136.7,135.08,SAP
2019-12-11,"260,559",0.21000000000000796,0.1559020044543489,260559,0.210,0.16%,135.15,134.1,11 Dec 2019,USD,134.91,134.25,SAP
2019-12-10,"300,593",-0.160000000000025,-0.11864155420437861,300593,-0.160,-0.12%,135.16,134.11,10 Dec 2019,USD,134.7,134.25,SAP
2019-12-09,"227,527",-0.13999999999998636,-0.1037037037036936,227527,-0.140,-0.10%,135.58,134.8,9 Dec 2019,USD,134.86,135.12,SAP
2019-12-06,"347,095",0.15000000000000568,0.11123470522803537,347095,0.150,0.11%,135.55,134.68,6 Dec 2019,USD,135.0,135.51,SAP
2019-12-05,"486,711",-0.6899999999999977,-0.5090748118636549,486711,-0.690,-0.51%,135.58,134.5,5 Dec 2019,USD,134.85,135.53,SAP
2019-12-04,"354,593",1.3199999999999932,0.9834599910594496,354593,1.320,0.98%,135.62,134.86,4 Dec 2019,USD,135.54,135.24,SAP
2019-12-03,"659,337",0.7700000000000102,0.5769951292619035,659337,0.770,0.58%,134.25,132.59,3 Dec 2019,USD,134.22,132.86,SAP
2019-12-02,"628,177",-2.5,-1.8389113644722326,628177,-2.500,-1.84%,134.93,132.35,2 Dec 2019,USD,133.45,134.93,SAP
2019-11-29,"227,733",0.539999999999992,0.3987888634517333,227733,0.540,0.40%,136.26,135.39,29 Nov 2019,USD,135.95,135.46,SAP
2019-11-27,"443,890",0.06999999999999318,0.051721590069449666,443890,0.070,0.05%,135.62,134.53,27 Nov 2019,USD,135.41,134.93,SAP
2019-11-26,"664,026",-0.4000000000000057,-0.2946810078090509,664026,-0.400,-0.29%,135.86,134.87,26 Nov 2019,USD,135.34,135.41,SAP
2019-11-25,"287,611",0.3300000000000125,0.24370430544273872,287611,0.330,0.24%,136.24,135.4,25 Nov 2019,USD,135.74,135.79,SAP
2019-11-22,"225,765",-0.020000000000010232,-0.01476777671122368,225765,-0.020,-0.01%,136.43,135.22,22 Nov 2019,USD,135.41,136.23,SAP
2019-11-21,"280,889",0.4300000000000068,0.3185185185185236,280889,0.430,0.32%,135.93,135.16,21 Nov 2019,USD,135.43,135.44,SAP
2019-11-20,"303,766",-0.7400000000000091,-0.545159864446743,303766,-0.740,-0.55%,135.96,134.25,20 Nov 2019,USD,135.0,135.29,SAP
2019-11-19,"431,073",0.5600000000000023,0.41426246486166757,431073,0.560,0.41%,137.02,135.37,19 Nov 2019,USD,135.74,137.01,SAP
2019-11-18,"739,494",-0.29999999999998295,-0.22143489813993428,739494,-0.300,-0.22%,135.78,133.67,18 Nov 2019,USD,135.18,134.2,SAP
2019-11-15,"383,755",1.0699999999999932,0.796071720854098,383755,1.070,0.80%,135.645,134.08,15 Nov 2019,USD,135.48,134.27,SAP
2019-11-14,"345,421",0.10999999999998522,0.08190618019358542,345421,0.110,0.08%,134.54,133.8,14 Nov 2019,USD,134.41,134.15,SAP
2019-11-13,"452,030",-1.0699999999999932,-0.7904262391962718,452030,-1.070,-0.79%,134.81,134.1263,13 Nov 2019,USD,134.3,134.47,SAP
2019-11-12,"582,640",-1.4099999999999966,-1.0308524638104961,582640,-1.410,-1.03%,136.25,135.17,12 Nov 2019,USD,135.37,135.73,SAP
2019-11-11,"456,926",0.3400000000000034,0.24919378481384008,456926,0.340,0.25%,137.12,135.96,11 Nov 2019,USD,136.78,135.96,SAP
2019-11-08,"328,307",1.3599999999999852,1.0068107787977385,328307,1.360,1.01%,136.44,135.11,8 Nov 2019,USD,136.44,135.39,SAP
2019-11-07,"281,352",-0.030000000000001137,-0.022204129968174918,281352,-0.030,-0.02%,135.69,134.62,7 Nov 2019,USD,135.08,134.7,SAP
2019-11-06,"459,506",1.5500000000000114,1.160527103923339,459506,1.550,1.16%,135.22,134.39,6 Nov 2019,USD,135.11,134.86,SAP
2019-11-05,"490,683",-0.9099999999999966,-0.6767308693388835,490683,-0.910,-0.68%,133.72,132.66,5 Nov 2019,USD,133.56,133.57,SAP
